scenario,step,susceptible,infected,recovered
high_distancing,70,90.2,7.4,82.4
high_distancing,71,90.2,6.8,83.0
high_distancing,72,90.0,5.6,84.4
high_distancing,73,93.0,6.25,80.75
high_distancing,74,92.75,5.75,81.5
high_distancing,75,92.5,4.5,83.0
high_distancing,76,92.0,4.0,84.0
high_distancing,77,92.0,3.75,84.25
high_distancing,78,91.5,4.25,84.25
high_distancing,79,91.5,3.5,85.0
high_distancing,80,94.33,4.33,81.33
high_transmission,0,175.0,5.0,0.0
high_transmission,1,173.83,6.17,0.0
high_transmission,2,173.0,7.0,0.0
high_transmission,3,172.0,8.0,0.0
high_transmission,4,170.83,9.17,0.0
high_transmission,5,169.5,10.5,0.0
high_transmission,6,168.17,11.83,0.0
high_transmission,7,166.83,13.17,0.0
high_transmission,8,165.17,14.83,0.0
high_transmission,9,163.0,17.0,0.0
high_transmission,10,160.0,20.0,0.0
high_transmission,11,156.17,23.83,0.0
high_transmission,12,153.17,26.83,0.0
high_transmission,13,149.67,30.33,0.0
high_transmission,14,144.83,30.17,5.0
high_transmission,15,142.33,31.5,6.17
high_transmission,16,139.17,33.83,7.0
high_transmission,17,136.83,35.17,8.0
high_transmission,18,133.0,37.83,9.17
high_transmission,19,129.5,40.0,10.5
high_transmission,20,125.0,43.17,11.83
high_transmission,21,119.83,47.0,13.17
high_transmission,22,115.0,50.17,14.83
high_transmission,23,109.17,53.83,17.0
high_transmission,24,105.5,54.5,20.0
high_transmission,25,99.83,56.33,23.83
high_transmission,26,96.0,57.17,26.83
high_transmission,27,90.67,59.0,30.33
high_transmission,28,87.0,57.83,35.17
high_transmission,29,83.17,59.17,37.67
high_transmission,30,80.33,58.83,40.83
high_transmission,31,75.17,61.67,43.17
high_transmission,32,72.0,61.0,47.0
high_transmission,33,68.33,61.17,50.5
high_transmission,34,65.33,59.67,55.0
high_transmission,35,62.5,57.33,60.17
high_transmission,36,59.83,55.17,65.0
high_transmission,37,57.83,51.33,70.83
high_transmission,38,54.83,50.67,74.5
high_transmission,39,52.83,47.0,80.17
high_transmission,40,51.0,45.0,84.0
high_transmission,41,49.17,41.5,89.33
high_transmission,42,47.83,39.17,93.0
high_transmission,43,47.33,35.83,96.83
high_transmission,44,46.17,34.17,99.67
high_transmission,45,44.5,30.67,104.83
high_transmission,46,43.5,28.5,108.0
high_transmission,47,43.33,25.0,111.67
high_transmission,48,42.5,22.83,114.67
high_transmission,49,41.17,21.33,117.5
high_transmission,50,40.17,19.67,120.17
high_transmission,51,40.0,17.83,122.17
high_transmission,52,39.33,15.5,125.17
high_transmission,53,38.83,14.0,127.17
high_transmission,54,38.67,12.33,129.0
high_transmission,55,38.17,11.0,130.83
high_transmission,56,37.83,10.0,132.17
high_transmission,57,37.33,10.0,132.67
high_transmission,58,37.17,9.0,133.83
high_transmission,59,36.5,8.0,135.5
high_transmission,60,36.5,7.0,136.5
high_transmission,61,36.0,7.33,136.67
high_transmission,62,35.17,7.33,137.5
high_transmission,63,35.0,6.17,138.83
high_transmission,64,34.67,5.5,139.83
high_transmission,65,34.17,5.83,140.0
high_transmission,66,34.0,5.33,140.67
high_transmission,67,34.0,4.83,141.17
high_transmission,68,33.67,5.0,141.33
high_transmission,69,33.5,4.67,141.83
high_transmission,70,33.33,4.5,142.17
high_transmission,71,33.17,4.17,142.67
high_transmission,72,33.0,4.17,142.83
high_transmission,73,32.83,3.67,143.5
high_transmission,74,32.67,3.83,143.5
high_transmission,75,32.67,3.33,144.0
high_transmission,76,32.67,2.5,144.83
high_transmission,77,30.6,2.8,146.6
high_transmission,78,30.25,3.25,146.5
high_transmission,79,30.25,2.5,147.25
high_transmission,80,33.5,4.5,142.0
moderate_distancing,0,175.0,5.0,0.0
moderate_distancing,1,174.5,5.5,0.0
moderate_distancing,2,173.17,6.83,0.0
moderate_distancing,3,171.67,8.33,0.0
moderate_distancing,4,170.0,10.0,0.0
moderate_distancing,5,168.33,11.67,0.0
moderate_distancing,6,166.17,13.83,0.0
moderate_distancing,7,165.0,15.0,0.0
moderate_distancing,8,163.0,17.0,0.0
moderate_distancing,9,162.17,17.83,0.0
moderate_distancing,10,160.67,19.33,0.0
moderate_distancing,11,159.17,20.83,0.0
moderate_distancing,12,156.67,23.33,0.0
moderate_distancing,13,154.67,25.33,0.0
moderate_distancing,14,151.83,23.17,5.0
moderate_distancing,15,149.17,25.33,5.5
moderate_distancing,16,146.33,26.83,6.83
moderate_distancing,17,144.5,27.17,8.33
moderate_distancing,18,141.17,28.83,10.0
moderate_distancing,19,138.67,29.67,11.67
moderate_distancing,20,136.5,29.67,13.83
moderate_distancing,21,134.67,30.33,15.0
moderate_distancing,22,132.67,30.33,17.0
moderate_distancing,23,129.5,32.67,17.83
moderate_distancing,24,126.67,34.0,19.33
moderate_distancing,25,121.83,37.33,20.83
moderate_distancing,26,118.33,38.33,23.33
moderate_distancing,27,116.0,38.67,25.33
moderate_distancing,28,113.0,38.83,28.17
moderate_distancing,29,110.17,39.0,30.83
moderate_distancing,30,107.0,39.33,33.67
moderate_distancing,31,103.0,41.5,35.5
moderate_distancing,32,100.0,41.17,38.83
moderate_distancing,33,98.0,40.67,41.33
moderate_distancing,34,94.83,41.67,43.5
moderate_distancing,35,92.67,42.0,45.33
moderate_distancing,36,89.67,43.0,47.33
moderate_distancing,37,86.83,42.67,50.5
moderate_distancing,38,85.17,41.5,53.33
moderate_distancing,39,83.83,38.0,58.17
moderate_distancing,40,82.17,36.17,61.67
moderate_distancing,41,80.5,35.5,64.0
moderate_distancing,42,78.0,35.0,67.0
moderate_distancing,43,75.83,34.33,69.83
moderate_distancing,44,74.17,32.83,73.0
moderate_distancing,45,72.0,31.0,77.0
moderate_distancing,46,70.17,29.83,80.0
moderate_distancing,47,68.33,29.67,82.0
moderate_distancing,48,67.67,27.17,85.17
moderate_distancing,49,66.0,26.67,87.33
moderate_distancing,50,65.0,24.67,90.33
moderate_distancing,51,63.83,23.0,93.17
moderate_distancing,52,62.5,22.67,94.83
moderate_distancing,53,61.83,22.0,96.17
moderate_distancing,54,60.33,21.83,97.83
moderate_distancing,55,59.33,21.17,99.5
moderate_distancing,56,58.33,19.67,102.0
moderate_distancing,57,57.5,18.33,104.17
moderate_distancing,58,56.83,17.33,105.83
moderate_distancing,59,56.67,15.33,108.0
moderate_distancing,60,56.33,13.83,109.83
moderate_distancing,61,55.67,12.67,111.67
moderate_distancing,62,55.33,12.33,112.33
moderate_distancing,63,54.5,11.5,114.0
moderate_distancing,64,54.17,10.83,115.0
moderate_distancing,65,55.8,12.4,111.8
moderate_distancing,66,55.6,11.0,113.4
moderate_distancing,67,55.4,10.4,114.2
moderate_distancing,68,55.2,8.8,116.0
moderate_distancing,69,54.4,8.4,117.2
moderate_distancing,70,54.2,7.4,118.4
moderate_distancing,71,54.0,6.6,119.4
moderate_distancing,72,54.0,5.8,120.2
moderate_distancing,73,54.0,5.6,120.4
moderate_distancing,74,53.8,5.4,120.8
moderate_distancing,75,56.0,5.75,118.25
moderate_distancing,76,55.5,5.75,118.75
moderate_distancing,77,55.5,4.5,120.0
moderate_distancing,78,55.25,4.25,120.5
moderate_distancing,79,54.5,4.0,121.5
moderate_distancing,80,56.33,5.0,118.67
