scenario,replicate,step,susceptible,infected,recovered
baseline,2,56,18,12,150
baseline,2,57,18,10,152
baseline,2,58,18,10,152
baseline,2,59,18,9,153
baseline,2,60,18,8,154
baseline,2,61,18,8,154
baseline,2,62,18,5,157
baseline,2,63,18,4,158
baseline,2,64,18,4,158
baseline,2,65,18,3,159
baseline,2,66,18,3,159
baseline,2,67,18,3,159
baseline,2,68,18,1,161
baseline,2,69,18,1,161
baseline,2,70,18,0,162
baseline,3,0,175,5,0
baseline,3,1,174,6,0
baseline,3,2,173,7,0
baseline,3,3,172,8,0
baseline,3,4,170,10,0
baseline,3,5,168,12,0
baseline,3,6,168,12,0
baseline,3,7,166,14,0
baseline,3,8,162,18,0
baseline,3,9,160,20,0
baseline,3,10,152,28,0
baseline,3,11,149,31,0
baseline,3,12,144,36,0
baseline,3,13,137,43,0
baseline,3,14,132,43,5
baseline,3,15,130,44,6
baseline,3,16,123,50,7
baseline,3,17,116,56,8
baseline,3,18,110,60,10
baseline,3,19,104,64,12
baseline,3,20,99,69,12
baseline,3,21,89,77,14
baseline,3,22,78,84,18
baseline,3,23,72,88,20
baseline,3,24,66,86,28
baseline,3,25,59,90,31
baseline,3,26,53,91,36
baseline,3,27,46,91,43
baseline,3,28,44,88,48
baseline,3,29,38,92,50
baseline,3,30,36,87,57
baseline,3,31,32,84,64
baseline,3,32,32,78,70
baseline,3,33,30,74,76
baseline,3,34,28,71,81
baseline,3,35,26,63,91
baseline,3,36,24,54,102
baseline,3,37,22,50,108
baseline,3,38,22,44,114
baseline,3,39,22,37,121
baseline,3,40,22,31,127
baseline,3,41,22,24,134
baseline,3,42,21,23,136
baseline,3,43,17,21,142
baseline,3,44,17,19,144
baseline,3,45,17,15,148
baseline,3,46,17,15,148
baseline,3,47,17,13,150
baseline,3,48,17,11,152
baseline,3,49,17,9,154
baseline,3,50,17,7,156
baseline,3,51,17,5,158
baseline,3,52,17,5,158
baseline,3,53,17,5,158
baseline,3,54,17,5,158
baseline,3,55,17,5,158
baseline,3,56,17,4,159
baseline,3,57,16,1,163
baseline,3,58,16,1,163
baseline,3,59,16,1,163
baseline,3,60,16,1,163
baseline,3,61,15,2,163
baseline,3,62,15,2,163
baseline,3,63,15,2,163
