scenario,replicate,step,susceptible,infected,recovered
moderate_distancing,5,55,78,34,68
moderate_distancing,5,56,75,34,71
moderate_distancing,5,57,72,33,75
moderate_distancing,5,58,71,31,78
moderate_distancing,5,59,70,28,82
moderate_distancing,5,60,70,26,84
moderate_distancing,5,61,68,26,86
moderate_distancing,5,62,66,27,87
moderate_distancing,5,63,66,24,90
moderate_distancing,5,64,66,23,91
moderate_distancing,5,65,66,22,92
moderate_distancing,5,66,66,19,95
moderate_distancing,5,67,66,19,95
moderate_distancing,5,68,65,17,98
moderate_distancing,5,69,64,14,102
moderate_distancing,5,70,64,11,105
moderate_distancing,5,71,64,8,108
moderate_distancing,5,72,64,7,109
moderate_distancing,5,73,64,6,110
moderate_distancing,5,74,63,7,110
moderate_distancing,5,75,63,5,112
moderate_distancing,5,76,61,5,114
moderate_distancing,5,77,61,5,114
moderate_distancing,5,78,61,5,114
moderate_distancing,5,79,59,7,114
moderate_distancing,5,80,59,7,114
high_distancing,0,0,175,5,0
high_distancing,0,1,174,6,0
high_distancing,0,2,172,8,0
high_distancing,0,3,172,8,0
high_distancing,0,4,172,8,0
high_distancing,0,5,172,8,0
high_distancing,0,6,172,8,0
high_distancing,0,7,172,8,0
high_distancing,0,8,171,9,0
high_distancing,0,9,171,9,0
high_distancing,0,10,170,10,0
high_distancing,0,11,168,12,0
high_distancing,0,12,168,12,0
high_distancing,0,13,166,14,0
high_distancing,0,14,163,12,5
high_distancing,0,15,163,11,6
high_distancing,0,16,162,10,8
high_distancing,0,17,162,10,8
high_distancing,0,18,161,11,8
high_distancing,0,19,160,12,8
high_distancing,0,20,159,13,8
high_distancing,0,21,158,14,8
high_distancing,0,22,155,16,9
high_distancing,0,23,153,18,9
high_distancing,0,24,152,18,10
high_distancing,0,25,152,16,12
high_distancing,0,26,152,16,12
high_distancing,0,27,150,16,14
high_distancing,0,28,149,14,17
high_distancing,0,29,149,14,17
high_distancing,0,30,147,15,18
high_distancing,0,31,146,16,18
high_distancing,0,32,145,16,19
high_distancing,0,33,144,16,20
high_distancing,0,34,142,17,21
high_distancing,0,35,140,18,22
high_distancing,0,36,138,17,25
high_distancing,0,37,138,15,27
high_distancing,0,38,137,15,28
high_distancing,0,39,135,17,28
high_distancing,0,40,132,20,28
high_distancing,0,41,132,18,30
high_distancing,0,42,132,17,31
high_distancing,0,43,129,20,31
high_distancing,0,44,126,21,33
high_distancing,0,45,123,23,34
high_distancing,0,46,122,23,35
high_distancing,0,47,120,24,36
high_distancing,0,48,117,25,38
high_distancing,0,49,116,24,40
high_distancing,0,50,115,23,42
high_distancing,0,51,113,25,42
high_distancing,0,52,110,27,43
high_distancing,0,53,110,25,45
high_distancing,0,54,110,22,48
high_distancing,0,55,109,23,48
high_distancing,0,56,109,23,48
high_distancing,0,57,108,21,51
high_distancing,0,58,106,20,54
high_distancing,0,59,104,19,57
high_distancing,0,60,103,19,58
high_distancing,0,61,101,19,60
high_distancing,0,62,101,16,63
high_distancing,0,63,101,15,64
high_distancing,0,64,101,14,65
high_distancing,0,65,101,12,67
high_distancing,0,66,100,10,70
high_distancing,0,67,100,10,70
high_distancing,0,68,99,11,70
high_distancing,0,69,99,10,71
high_distancing,0,70,97,12,71
high_distancing,0,71,97,11,72
high_distancing,0,72,97,9,74
high_distancing,0,73,97,7,76
high_distancing,0,74,97,6,77
high_distancing,0,75,97,4,79
high_distancing,0,76,96,5,79
high_distancing,0,77,96,5,79
high_distancing,0,78,96,5,79
high_distancing,0,79,96,5,79
high_distancing,0,80,96,4,80
high_distancing,1,0,175,5,0
high_distancing,1,1,175,5,0
high_distancing,1,2,173,7,0
high_distancing,1,3,173,7,0
high_distancing,1,4,170,10,0
high_distancing,1,5,169,11,0
high_distancing,1,6,166,14,0
high_distancing,1,7,164,16,0
high_distancing,1,8,163,17,0
high_distancing,1,9,162,18,0
high_distancing,1,10,159,21,0
high_distancing,1,11,159,21,0
high_distancing,1,12,157,23,0
high_distancing,1,13,156,24,0
high_distancing,1,14,152,23,5
high_distancing,1,15,150,25,5
high_distancing,1,16,145,28,7
high_distancing,1,17,143,30,7
high_distancing,1,18,138,32,10
high_distancing,1,19,136,33,11
high_distancing,1,20,135,31,14
high_distancing,1,21,133,31,16
high_distancing,1,22,128,35,17
high_distancing,1,23,126,36,18
high_distancing,1,24,125,34,21
high_distancing,1,25,123,36,21
high_distancing,1,26,118,39,23
high_distancing,1,27,116,40,24
high_distancing,1,28,114,38,28
high_distancing,1,29,111,39,30
high_distancing,1,30,107,38,35
high_distancing,1,31,106,37,37
high_distancing,1,32,103,35,42
high_distancing,1,33,101,35,44
high_distancing,1,34,100,35,45
high_distancing,1,35,98,35,47
high_distancing,1,36,96,32,52
high_distancing,1,37,95,31,54
high_distancing,1,38,93,32,55
high_distancing,1,39,92,31,57
high_distancing,1,40,91,27,62
high_distancing,1,41,91,25,64
high_distancing,1,42,90,24,66
high_distancing,1,43,88,23,69
high_distancing,1,44,86,21,73
high_distancing,1,45,85,21,74
high_distancing,1,46,85,18,77
high_distancing,1,47,83,18,79
high_distancing,1,48,83,17,80
high_distancing,1,49,83,15,82
high_distancing,1,50,83,13,84
high_distancing,1,51,82,13,85
high_distancing,1,52,81,12,87
high_distancing,1,53,80,12,88
high_distancing,1,54,80,11,89
high_distancing,1,55,80,11,89
high_distancing,1,56,80,10,90
high_distancing,1,57,79,9,92
high_distancing,1,58,78,8,94
high_distancing,1,59,78,7,95
high_distancing,1,60,78,7,95
high_distancing,1,61,78,5,97
high_distancing,1,62,78,5,97
high_distancing,1,63,78,5,97
high_distancing,1,64,78,5,97
high_distancing,1,65,78,4,98
high_distancing,1,66,78,3,99
high_distancing,1,67,78,2,100
high_distancing,1,68,78,2,100
high_distancing,1,69,78,2,100
high_distancing,1,70,78,2,100
high_distancing,1,71,78,1,101
high_distancing,1,72,78,0,102
high_distancing,2,0,175,5,0
high_distancing,2,1,174,6,0
high_distancing,2,2,171,9,0
high_distancing,2,3,170,10,0
high_distancing,2,4,170,10,0
high_distancing,2,5,168,12,0
high_distancing,2,6,167,13,0
high_distancing,2,7,167,13,0
high_distancing,2,8,167,13,0
high_distancing,2,9,166,14,0
high_distancing,2,10,164,16,0
high_distancing,2,11,162,18,0
high_distancing,2,12,159,21,0
high_distancing,2,13,157,23,0
high_distancing,2,14,156,19,5
high_distancing,2,15,155,19,6
high_distancing,2,16,152,19,9
high_distancing,2,17,152,18,10
high_distancing,2,18,151,19,10
high_distancing,2,19,149,19,12
high_distancing,2,20,147,20,13
high_distancing,2,21,142,25,13
high_distancing,2,22,140,27,13
high_distancing,2,23,136,30,14
high_distancing,2,24,135,29,16
high_distancing,2,25,132,30,18
high_distancing,2,26,129,30,21
high_distancing,2,27,129,28,23
high_distancing,2,28,128,28,24
high_distancing,2,29,126,29,25
high_distancing,2,30,125,27,28
high_distancing,2,31,123,29,28
high_distancing,2,32,121,30,29
high_distancing,2,33,119,30,31
high_distancing,2,34,116,31,33
high_distancing,2,35,115,27,38
high_distancing,2,36,115,25,40
high_distancing,2,37,115,21,44
high_distancing,2,38,113,22,45
high_distancing,2,39,111,21,48
high_distancing,2,40,109,20,51
high_distancing,2,41,107,22,51
high_distancing,2,42,105,23,52
high_distancing,2,43,104,22,54
high_distancing,2,44,104,21,55
high_distancing,2,45,104,19,57
high_distancing,2,46,102,19,59
high_distancing,2,47,101,18,61
high_distancing,2,48,100,16,64
high_distancing,2,49,99,16,65
high_distancing,2,50,97,18,65
high_distancing,2,51,96,19,65
high_distancing,2,52,96,17,67
high_distancing,2,53,93,18,69
high_distancing,2,54,92,17,71
high_distancing,2,55,92,15,73
high_distancing,2,56,91,14,75
high_distancing,2,57,90,14,76
high_distancing,2,58,88,16,76
high_distancing,2,59,87,17,76
high_distancing,2,60,87,15,78
high_distancing,2,61,87,14,79
high_distancing,2,62,85,15,80
high_distancing,2,63,85,14,81
high_distancing,2,64,85,12,83
high_distancing,2,65,83,13,84
high_distancing,2,66,83,13,84
high_distancing,2,67,83,10,87
high_distancing,2,68,83,9,88
high_distancing,2,69,83,9,88
high_distancing,2,70,83,8,89
high_distancing,2,71,83,7,90
high_distancing,2,72,83,5,92
high_distancing,2,73,83,4,93
high_distancing,2,74,83,4,93
high_distancing,2,75,83,4,93
high_distancing,2,76,83,2,95
high_distancing,2,77,83,2,95
high_distancing,2,78,83,2,95
high_distancing,2,79,83,0,97
high_distancing,3,0,175,5,0
high_distancing,3,1,174,6,0
high_distancing,3,2,173,7,0
high_distancing,3,3,171,9,0
high_distancing,3,4,171,9,0
high_distancing,3,5,171,9,0
high_distancing,3,6,168,12,0
high_distancing,3,7,168,12,0
high_distancing,3,8,167,13,0
high_distancing,3,9,166,14,0
high_distancing,3,10,166,14,0
high_distancing,3,11,166,14,0
high_distancing,3,12,165,15,0
high_distancing,3,13,163,17,0
high_distancing,3,14,160,15,5
high_distancing,3,15,159,15,6
high_distancing,3,16,158,15,7
high_distancing,3,17,156,15,9
high_distancing,3,18,154,17,9
high_distancing,3,19,154,17,9
high_distancing,3,20,153,15,12
high_distancing,3,21,153,15,12
high_distancing,3,22,151,16,13
high_distancing,3,23,150,16,14
high_distancing,3,24,147,19,14
high_distancing,3,25,145,21,14
high_distancing,3,26,143,22,15
high_distancing,3,27,143,20,17
high_distancing,3,28,143,17,20
high_distancing,3,29,141,18,21
high_distancing,3,30,140,18,22
high_distancing,3,31,138,18,24
high_distancing,3,32,138,16,26
high_distancing,3,33,135,19,26
high_distancing,3,34,133,20,27
high_distancing,3,35,132,21,27
high_distancing,3,36,130,21,29
high_distancing,3,37,129,21,30
high_distancing,3,38,129,18,33
high_distancing,3,39,125,20,35
high_distancing,3,40,125,18,37
high_distancing,3,41,125,18,37
high_distancing,3,42,125,18,37
high_distancing,3,43,124,17,39
high_distancing,3,44,122,18,40
high_distancing,3,45,120,18,42
high_distancing,3,46,118,20,42
high_distancing,3,47,116,19,45
high_distancing,3,48,114,19,47
high_distancing,3,49,113,19,48
high_distancing,3,50,113,17,50
high_distancing,3,51,113,16,51
high_distancing,3,52,112,17,51
high_distancing,3,53,111,14,55
high_distancing,3,54,111,14,55
high_distancing,3,55,111,14,55
high_distancing,3,56,110,15,55
high_distancing,3,57,110,14,56
high_distancing,3,58,110,12,58
high_distancing,3,59,110,10,60
high_distancing,3,60,109,9,62
high_distancing,3,61,105,11,64
high_distancing,3,62,105,9,66
high_distancing,3,63,105,8,67
high_distancing,3,64,105,8,67
high_distancing,3,65,105,8,67
high_distancing,3,66,105,7,68
high_distancing,3,67,105,6,69
high_distancing,3,68,105,6,69
high_distancing,3,69,105,6,69
high_distancing,3,70,105,5,70
high_distancing,3,71,105,5,70
high_distancing,3,72,105,5,70
high_distancing,3,73,105,5,70
high_distancing,3,74,104,5,71
high_distancing,3,75,104,1,75
high_distancing,3,76,104,1,75
high_distancing,3,77,104,1,75
high_distancing,3,78,104,1,75
high_distancing,3,79,104,1,75
high_distancing,3,80,104,1,75
high_distancing,4,0,175,5,0
high_distancing,4,1,174,6,0
high_distancing,4,2,174,6,0
high_distancing,4,3,174,6,0
high_distancing,4,4,173,7,0
high_distancing,4,5,171,9,0
high_distancing,4,6,171,9,0
high_distancing,4,7,171,9,0
high_distancing,4,8,168,12,0
high_distancing,4,9,166,14,0
high_distancing,4,10,165,15,0
high_distancing,4,11,162,18,0
high_distancing,4,12,160,20,0
high_distancing,4,13,158,22,0
high_distancing,4,14,154,21,5
high_distancing,4,15,152,22,6
high_distancing,4,16,152,22,6
high_distancing,4,17,151,23,6
high_distancing,4,18,149,24,7
high_distancing,4,19,146,25,9
high_distancing,4,20,145,26,9
high_distancing,4,21,142,29,9
high_distancing,4,22,140,28,12
high_distancing,4,23,138,28,14
high_distancing,4,24,134,31,15
high_distancing,4,25,133,29,18
high_distancing,4,26,131,29,20
high_distancing,4,27,128,30,22
high_distancing,4,28,126,28,26
high_distancing,4,29,124,28,28
high_distancing,4,30,121,31,28
high_distancing,4,31,121,30,29
high_distancing,4,32,120,29,31
high_distancing,4,33,120,26,34
high_distancing,4,34,119,26,35
high_distancing,4,35,117,25,38
high_distancing,4,36,117,23,40
high_distancing,4,37,116,22,42
high_distancing,4,38,113,21,46
high_distancing,4,39,111,22,47
high_distancing,4,40,111,20,49
high_distancing,4,41,107,21,52
high_distancing,4,42,107,19,54
high_distancing,4,43,107,17,56
high_distancing,4,44,107,14,59
high_distancing,4,45,107,14,59
high_distancing,4,46,107,13,60
high_distancing,4,47,106,14,60
high_distancing,4,48,105,14,61
high_distancing,4,49,104,13,63
high_distancing,4,50,103,14,63
high_distancing,4,51,101,15,64
high_distancing,4,52,101,12,67
high_distancing,4,53,101,10,69
high_distancing,4,54,100,11,69
high_distancing,4,55,99,8,73
high_distancing,4,56,98,9,73
high_distancing,4,57,98,9,73
high_distancing,4,58,96,11,73
high_distancing,4,59,96,11,73
high_distancing,4,60,95,12,73
high_distancing,4,61,95,11,74
high_distancing,4,62,93,12,75
high_distancing,4,63,92,12,76
high_distancing,4,64,92,11,77
high_distancing,4,65,91,10,79
high_distancing,4,66,91,10,79
high_distancing,4,67,91,10,79
high_distancing,4,68,89,11,80
high_distancing,4,69,88,11,81
high_distancing,4,70,88,10,82
high_distancing,4,71,88,10,82
high_distancing,4,72,87,9,84
high_distancing,4,73,87,9,84
high_distancing,4,74,87,8,85
high_distancing,4,75,86,9,85
high_distancing,4,76,85,8,87
high_distancing,4,77,85,7,88
high_distancing,4,78,83,9,88
high_distancing,4,79,83,8,89
high_distancing,4,80,83,8,89
high_distancing,5,0,175,5,0
high_distancing,5,1,174,6,0
high_distancing,5,2,174,6,0
high_distancing,5,3,174,6,0
high_distancing,5,4,174,6,0
high_distancing,5,5,173,7,0
high_distancing,5,6,172,8,0
high_distancing,5,7,172,8,0
high_distancing,5,8,172,8,0
high_distancing,5,9,172,8,0
high_distancing,5,10,172,8,0
high_distancing,5,11,171,9,0
high_distancing,5,12,170,10,0
high_distancing,5,13,169,11,0
high_distancing,5,14,167,8,5
high_distancing,5,15,167,7,6
high_distancing,5,16,167,7,6
high_distancing,5,17,165,9,6
high_distancing,5,18,162,12,6
high_distancing,5,19,162,11,7
high_distancing,5,20,162,10,8
high_distancing,5,21,161,11,8
high_distancing,5,22,161,11,8
high_distancing,5,23,161,11,8
high_distancing,5,24,161,11,8
high_distancing,5,25,160,11,9
high_distancing,5,26,159,11,10
high_distancing,5,27,158,11,11
high_distancing,5,28,158,9,13
high_distancing,5,29,158,9,13
high_distancing,5,30,157,10,13
high_distancing,5,31,155,10,15
high_distancing,5,32,154,8,18
high_distancing,5,33,154,8,18
high_distancing,5,34,154,8,18
high_distancing,5,35,154,7,19
high_distancing,5,36,154,7,19
high_distancing,5,37,154,7,19
high_distancing,5,38,154,7,19
high_distancing,5,39,152,8,20
high_distancing,5,40,151,8,21
high_distancing,5,41,151,7,22
high_distancing,5,42,150,8,22
high_distancing,5,43,150,8,22
high_distancing,5,44,146,11,23
high_distancing,5,45,146,9,25
high_distancing,5,46,146,8,26
high_distancing,5,47,146,8,26
high_distancing,5,48,146,8,26
high_distancing,5,49,146,8,26
high_distancing,5,50,146,8,26
high_distancing,5,51,144,10,26
high_distancing,5,52,144,10,26
high_distancing,5,53,144,8,28
high_distancing,5,54,144,7,29
high_distancing,5,55,144,7,29
high_distancing,5,56,144,6,30
high_distancing,5,57,144,6,30
high_distancing,5,58,144,2,34
high_distancing,5,59,144,2,34
high_distancing,5,60,144,2,34
high_distancing,5,61,144,2,34
high_distancing,5,62,144,2,34
high_distancing,5,63,144,2,34
high_distancing,5,64,144,2,34
high_distancing,5,65,144,0,36
high_transmission,0,0,175,5,0
high_transmission,0,1,175,5,0
high_transmission,0,2,174,6,0
high_transmission,0,3,174,6,0
high_transmission,0,4,174,6,0
high_transmission,0,5,173,7,0
high_transmission,0,6,173,7,0
high_transmission,0,7,171,9,0
high_transmission,0,8,171,9,0
high_transmission,0,9,169,11,0
high_transmission,0,10,169,11,0
high_transmission,0,11,164,16,0
high_transmission,0,12,163,17,0
high_transmission,0,13,158,22,0
high_transmission,0,14,156,19,5
high_transmission,0,15,152,23,5
high_transmission,0,16,148,26,6
high_transmission,0,17,147,27,6
high_transmission,0,18,145,29,6
high_transmission,0,19,142,31,7
high_transmission,0,20,140,33,7
high_transmission,0,21,135,36,9
high_transmission,0,22,129,42,9
high_transmission,0,23,123,46,11
high_transmission,0,24,119,50,11
high_transmission,0,25,114,50,16
high_transmission,0,26,112,51,17
high_transmission,0,27,107,51,22
high_transmission,0,28,101,55,24
high_transmission,0,29,99,53,28
high_transmission,0,30,97,51,32
high_transmission,0,31,89,58,33
high_transmission,0,32,84,61,35
high_transmission,0,33,77,65,38
high_transmission,0,34,71,69,40
high_transmission,0,35,66,69,45
high_transmission,0,36,63,66,51
high_transmission,0,37,61,62,57
high_transmission,0,38,56,63,61
high_transmission,0,39,53,61,66
high_transmission,0,40,48,64,68
high_transmission,0,41,45,62,73
high_transmission,0,42,43,58,79
high_transmission,0,43,43,56,81
high_transmission,0,44,41,56,83
high_transmission,0,45,40,49,91
high_transmission,0,46,39,45,96
high_transmission,0,47,39,38,103
high_transmission,0,48,38,33,109
high_transmission,0,49,37,29,114
high_transmission,0,50,34,29,117
high_transmission,0,51,34,27,119
high_transmission,0,52,33,23,124
high_transmission,0,53,33,20,127
high_transmission,0,54,33,15,132
high_transmission,0,55,33,12,135
high_transmission,0,56,33,10,137
high_transmission,0,57,32,11,137
high_transmission,0,58,32,9,139
high_transmission,0,59,32,8,140
high_transmission,0,60,32,7,141
high_transmission,0,61,32,7,141
high_transmission,0,62,32,6,142
high_transmission,0,63,31,6,143
high_transmission,0,64,31,3,146
high_transmission,0,65,31,3,146
high_transmission,0,66,31,2,147
high_transmission,0,67,31,2,147
high_transmission,0,68,31,2,147
high_transmission,0,69,31,2,147
high_transmission,0,70,31,2,147
high_transmission,0,71,31,1,148
high_transmission,0,72,31,1,148
high_transmission,0,73,31,1,148
high_transmission,0,74,31,1,148
high_transmission,0,75,31,1,148
high_transmission,0,76,31,1,148
high_transmission,0,77,31,0,149
high_transmission,1,0,175,5,0
high_transmission,1,1,175,5,0
high_transmission,1,2,174,6,0
high_transmission,1,3,172,8,0
high_transmission,1,4,168,12,0
high_transmission,1,5,167,13,0
high_transmission,1,6,165,15,0
high_transmission,1,7,161,19,0
high_transmission,1,8,157,23,0
high_transmission,1,9,153,27,0
high_transmission,1,10,149,31,0
high_transmission,1,11,146,34,0
high_transmission,1,12,140,40,0
high_transmission,1,13,134,46,0
high_transmission,1,14,129,46,5
high_transmission,1,15,124,51,5
high_transmission,1,16,122,52,6
high_transmission,1,17,120,52,8
high_transmission,1,18,115,53,12
high_transmission,1,19,110,57,13
high_transmission,1,20,107,58,15
high_transmission,1,21,99,62,19
high_transmission,1,22,90,67,23
high_transmission,1,23,82,71,27
high_transmission,1,24,78,71,31
high_transmission,1,25,71,75,34
high_transmission,1,26,65,75,40
high_transmission,1,27,60,74,46
high_transmission,1,28,59,70,51
high_transmission,1,29,53,71,56
high_transmission,1,30,51,71,58
high_transmission,1,31,48,72,60
high_transmission,1,32,45,70,65
high_transmission,1,33,42,68,70
high_transmission,1,34,41,66,73
high_transmission,1,35,37,62,81
high_transmission,1,36,35,55,90
high_transmission,1,37,34,48,98
high_transmission,1,38,32,46,102
high_transmission,1,39,32,39,109
high_transmission,1,40,31,34,115
high_transmission,1,41,31,29,120
high_transmission,1,42,30,29,121
high_transmission,1,43,29,24,127
high_transmission,1,44,27,24,129
high_transmission,1,45,27,21,132
high_transmission,1,46,27,18,135
high_transmission,1,47,27,15,138
high_transmission,1,48,27,14,139
high_transmission,1,49,27,10,143
high_transmission,1,50,27,8,145
high_transmission,1,51,27,7,146
high_transmission,1,52,27,5,148
high_transmission,1,53,27,5,148
high_transmission,1,54,27,4,149
high_transmission,1,55,27,4,149
high_transmission,1,56,26,4,150
high_transmission,1,57,26,3,151
high_transmission,1,58,26,1,153
high_transmission,1,59,26,1,153
high_transmission,1,60,26,1,153
high_transmission,1,61,26,1,153
high_transmission,1,62,26,1,153
high_transmission,1,63,26,1,153
high_transmission,1,64,26,1,153
high_transmission,1,65,25,2,153
high_transmission,1,66,25,2,153
high_transmission,1,67,25,2,153
high_transmission,1,68,25,2,153
high_transmission,1,69,25,2,153
high_transmission,1,70,25,1,154
high_transmission,1,71,25,1,154
high_transmission,1,72,25,1,154
high_transmission,1,73,25,1,154
high_transmission,1,74,25,1,154
high_transmission,1,75,25,1,154
high_transmission,1,76,25,1,154
high_transmission,1,77,25,1,154
high_transmission,1,78,25,1,154
high_transmission,1,79,25,0,155
high_transmission,2,0,175,5,0
high_transmission,2,1,174,6,0
high_transmission,2,2,173,7,0
high_transmission,2,3,171,9,0
high_transmission,2,4,169,11,0
high_transmission,2,5,165,15,0
high_transmission,2,6,163,17,0
high_transmission,2,7,162,18,0
high_transmission,2,8,160,20,0
high_transmission,2,9,156,24,0
high_transmission,2,10,148,32,0
high_transmission,2,11,143,37,0
high_transmission,2,12,142,38,0
high_transmission,2,13,140,40,0
high_transmission,2,14,134,41,5
high_transmission,2,15,133,41,6
high_transmission,2,16,128,45,7
high_transmission,2,17,123,48,9
high_transmission,2,18,120,49,11
high_transmission,2,19,118,47,15
high_transmission,2,20,114,49,17
high_transmission,2,21,105,57,18
high_transmission,2,22,101,59,20
high_transmission,2,23,97,59,24
high_transmission,2,24,92,56,32
high_transmission,2,25,88,55,37
high_transmission,2,26,87,55,38
high_transmission,2,27,81,59,40
high_transmission,2,28,77,57,46
high_transmission,2,29,75,58,47
high_transmission,2,30,71,57,52
high_transmission,2,31,66,57,57
high_transmission,2,32,63,57,60
high_transmission,2,33,61,57,62
high_transmission,2,34,59,55,66
high_transmission,2,35,56,49,75
high_transmission,2,36,53,48,79
high_transmission,2,37,50,47,83
high_transmission,2,38,48,44,88
high_transmission,2,39,48,40,92
high_transmission,2,40,46,41,93
high_transmission,2,41,44,37,99
high_transmission,2,42,41,36,103
high_transmission,2,43,41,34,105
high_transmission,2,44,41,30,109
high_transmission,2,45,37,29,114
high_transmission,2,46,37,26,117
high_transmission,2,47,37,24,119
high_transmission,2,48,35,24,121
high_transmission,2,49,35,21,124
high_transmission,2,50,34,19,127
high_transmission,2,51,34,16,130
high_transmission,2,52,34,14,132
high_transmission,2,53,34,14,132
high_transmission,2,54,33,13,134
high_transmission,2,55,33,11,136
high_transmission,2,56,33,8,139
high_transmission,2,57,32,9,139
high_transmission,2,58,31,10,139
high_transmission,2,59,31,6,143
high_transmission,2,60,31,6,143
high_transmission,2,61,31,6,143
high_transmission,2,62,30,5,145
high_transmission,2,63,30,5,145
high_transmission,2,64,30,4,146
high_transmission,2,65,29,5,146
high_transmission,2,66,29,5,146
high_transmission,2,67,29,5,146
high_transmission,2,68,29,4,147
high_transmission,2,69,29,4,147
high_transmission,2,70,29,4,147
high_transmission,2,71,29,3,148
high_transmission,2,72,29,2,149
high_transmission,2,73,29,2,149
high_transmission,2,74,29,2,149
high_transmission,2,75,29,2,149
high_transmission,2,76,29,1,150
high_transmission,2,77,29,1,150
high_transmission,2,78,29,1,150
high_transmission,2,79,29,0,151
high_transmission,3,0,175,5,0
high_transmission,3,1,173,7,0
high_transmission,3,2,172,8,0
high_transmission,3,3,171,9,0
high_transmission,3,4,171,9,0
high_transmission,3,5,171,9,0
high_transmission,3,6,169,11,0
high_transmission,3,7,169,11,0
high_transmission,3,8,167,13,0
high_transmission,3,9,166,14,0
high_transmission,3,10,164,16,0
high_transmission,3,11,160,20,0
high_transmission,3,12,156,24,0
high_transmission,3,13,154,26,0
high_transmission,3,14,149,26,5
high_transmission,3,15,146,27,7
high_transmission,3,16,142,30,8
high_transmission,3,17,142,29,9
high_transmission,3,18,139,32,9
high_transmission,3,19,134,37,9
high_transmission,3,20,127,42,11
high_transmission,3,21,125,44,11
high_transmission,3,22,121,46,13
high_transmission,3,23,121,45,14
high_transmission,3,24,120,44,16
high_transmission,3,25,115,45,20
high_transmission,3,26,110,46,24
high_transmission,3,27,105,49,26
high_transmission,3,28,102,47,31
high_transmission,3,29,98,48,34
high_transmission,3,30,96,46,38
high_transmission,3,31,91,51,38
high_transmission,3,32,87,52,41
high_transmission,3,33,83,51,46
high_transmission,3,34,81,46,53
high_transmission,3,35,80,45,55
high_transmission,3,36,78,43,59
high_transmission,3,37,75,46,59
high_transmission,3,38,69,51,60
high_transmission,3,39,64,51,65
high_transmission,3,40,63,47,70
high_transmission,3,41,62,43,75
high_transmission,3,42,61,41,78
high_transmission,3,43,60,38,82
high_transmission,3,44,59,37,84
high_transmission,3,45,56,35,89
high_transmission,3,46,55,32,93
high_transmission,3,47,55,28,97
high_transmission,3,48,54,27,99
high_transmission,3,49,50,30,100
high_transmission,3,50,49,29,102
high_transmission,3,51,49,26,105
high_transmission,3,52,47,22,111
high_transmission,3,53,46,18,116
high_transmission,3,54,46,17,117
high_transmission,3,55,45,17,118
high_transmission,3,56,45,16,119
high_transmission,3,57,45,15,120
high_transmission,3,58,45,14,121
high_transmission,3,59,42,14,124
high_transmission,3,60,42,13,125
high_transmission,3,61,41,14,125
high_transmission,3,62,39,15,126
high_transmission,3,63,39,11,130
high_transmission,3,64,39,10,131
high_transmission,3,65,39,10,131
high_transmission,3,66,39,8,133
high_transmission,3,67,39,7,134
high_transmission,3,68,39,7,134
high_transmission,3,69,38,7,135
high_transmission,3,70,37,8,135
high_transmission,3,71,36,9,135
high_transmission,3,72,35,10,135
high_transmission,3,73,34,8,138
high_transmission,3,74,34,8,138
high_transmission,3,75,34,7,139
high_transmission,3,76,34,5,141
high_transmission,3,77,34,5,141
high_transmission,3,78,34,5,141
high_transmission,3,79,34,5,141
high_transmission,3,80,34,5,141
high_transmission,4,0,175,5,0
high_transmission,4,1,174,6,0
high_transmission,4,2,174,6,0
high_transmission,4,3,174,6,0
high_transmission,4,4,174,6,0
high_transmission,4,5,174,6,0
high_transmission,4,6,172,8,0
high_transmission,4,7,171,9,0
high_transmission,4,8,171,9,0
high_transmission,4,9,170,10,0
high_transmission,4,10,168,12,0
high_transmission,4,11,167,13,0
high_transmission,4,12,165,15,0
high_transmission,4,13,163,17,0
high_transmission,4,14,157,18,5
high_transmission,4,15,156,18,6
high_transmission,4,16,155,19,6
high_transmission,4,17,154,20,6
high_transmission,4,18,148,26,6
high_transmission,4,19,144,30,6
high_transmission,4,20,139,33,8
high_transmission,4,21,136,35,9
high_transmission,4,22,134,37,9
high_transmission,4,23,126,44,10
high_transmission,4,24,123,45,12
high_transmission,4,25,118,49,13
high_transmission,4,26,113,52,15
high_transmission,4,27,106,57,17
high_transmission,4,28,102,55,23
high_transmission,4,29,94,62,24
high_transmission,4,30,92,63,25
high_transmission,4,31,85,69,26
high_transmission,4,32,85,63,32
high_transmission,4,33,81,63,36
high_transmission,4,34,77,62,41
high_transmission,4,35,73,63,44
high_transmission,4,36,71,63,46
high_transmission,4,37,69,57,54
high_transmission,4,38,67,56,57
high_transmission,4,39,66,52,62
high_transmission,4,40,64,49,67
high_transmission,4,41,61,45,74
high_transmission,4,42,61,41,78
high_transmission,4,43,60,34,86
high_transmission,4,44,59,33,88
high_transmission,4,45,57,28,95
high_transmission,4,46,53,32,95
high_transmission,4,47,53,28,99
high_transmission,4,48,52,25,103
high_transmission,4,49,50,23,107
high_transmission,4,50,49,22,109
high_transmission,4,51,48,21,111
high_transmission,4,52,47,20,113
high_transmission,4,53,45,21,114
high_transmission,4,54,45,19,116
high_transmission,4,55,43,18,119
high_transmission,4,56,43,18,119
high_transmission,4,57,42,18,120
high_transmission,4,58,42,17,121
high_transmission,4,59,42,15,123
high_transmission,4,60,42,11,127
high_transmission,4,61,42,11,127
high_transmission,4,62,41,11,128
